Equipo,Tiros,A_Gol,Goles,Ratio_TiroAGolxTiro,Ratio_GolxTiro,Ratio_GolxTiroAGol
America,14,4,2,0.285714286,0.142857143,0.5
America,14,4,2,0.285714286,0.142857143,0.5
America,11,6,3,0.545454545,0.272727273,0.5
America,14,7,2,0.5,0.142857143,0.285714286
America,17,9,2,0.529411765,0.117647059,0.222222222
America,13,9,3,0.692307692,0.230769231,0.333333333
America,22,5,0,0.227272727,0,0
America,12,3,0,0.25,0,0
America,16,6,3,0.375,0.1875,0.5
America,16,8,5,0.5,0.3125,0.625
America,17,7,2,0.411764706,0.117647059,0.285714286
America,19,9,1,0.473684211,0.052631579,0.111111111
America,24,8,1,0.333333333,0.041666667,0.125
America,18,7,2,0.388888889,0.111111111,0.285714286
America,13,7,2,0.538461538,0.153846154,0.285714286
America,13,6,3,0.461538462,0.230769231,0.5
America,16,8,4,0.5,0.25,0.5
America,11,2,2,0.181818182,0.181818182,1
America,8,2,0,0.25,0,0
America,27,7,2,0.259259259,0.074074074,0.285714286
America,14,2,1,0.142857143,0.071428571,0.5
America,14,4,2,0.285714286,0.142857143,0.5
America,11,4,3,0.363636364,0.272727273,0.75
America,7,1,0,0.142857143,0,0
America,14,5,0,0.357142857,0,0
America,15,4,1,0.266666667,0.066666667,0.25
America,18,6,0,0.333333333,0,0
America,16,7,4,0.4375,0.25,0.571428571
America,6,3,0,0.5,0,0
America,21,7,3,0.333333333,0.142857143,0.428571429
America,9,2,1,0.222222222,0.111111111,0.5
America,10,6,2,0.6,0.2,0.333333333
America,14,2,1,0.142857143,0.071428571,0.5
America,11,3,1,0.272727273,0.090909091,0.333333333
America,16,4,1,0.25,0.0625,0.25
America,14,3,0,0.214285714,0,0
America,6,3,1,0.5,0.166666667,0.333333333
America,22,7,2,0.318181818,0.090909091,0.285714286
America,14,6,1,0.428571429,0.071428571,0.166666667
America,26,11,4,0.423076923,0.153846154,0.363636364
America,8,3,2,0.375,0.25,0.666666667
America,12,6,2,0.5,0.166666667,0.333333333
America,16,6,2,0.375,0.125,0.333333333
America,22,7,1,0.318181818,0.045454545,0.142857143
America,17,5,1,0.294117647,0.058823529,0.2
America,18,8,5,0.444444444,0.277777778,0.625
America,15,2,1,0.133333333,0.066666667,0.5
America,17,9,4,0.529411765,0.235294118,0.444444444
America,14,3,0,0.214285714,0,0
America,15,5,2,0.333333333,0.133333333,0.4
America,8,2,1,0.25,0.125,0.5
America,22,7,2,0.318181818,0.090909091,0.285714286
America,12,4,1,0.333333333,0.083333333,0.25
America,9,1,0,0.111111111,0,0
America,15,5,1,0.333333333,0.066666667,0.2
America,22,10,1,0.454545455,0.045454545,0.1
America,11,4,2,0.363636364,0.181818182,0.5
America,11,5,2,0.454545455,0.181818182,0.4
America,6,3,1,0.5,0.166666667,0.333333333
America,5,3,1,0.6,0.2,0.333333333
America,16,8,1,0.5,0.0625,0.125
America,6,0,0,0,0,#¡DIV/0!
America,12,6,3,0.5,0.25,0.5
America,11,6,3,0.545454545,0.272727273,0.5
Atlas,15,6,2,0.4,0.133333333,0.333333333
Atlas,10,3,1,0.3,0.1,0.333333333
Atlas,20,7,2,0.35,0.1,0.285714286
Atlas,27,10,3,0.37037037,0.111111111,0.3
Atlas,14,4,2,0.285714286,0.142857143,0.5
Atlas,19,4,1,0.210526316,0.052631579,0.25
Atlas,13,2,0,0.153846154,0,0
Atlas,17,8,0,0.470588235,0,0
Atlas,9,5,0,0.555555556,0,0
Atlas,11,6,1,0.545454545,0.090909091,0.166666667
Atlas,8,3,0,0.375,0,0
Atlas,9,2,0,0.222222222,0,0
Atlas,14,5,1,0.357142857,0.071428571,0.2
Atlas,8,4,1,0.5,0.125,0.25
Atlas,17,3,1,0.176470588,0.058823529,0.333333333
Atlas,14,6,2,0.428571429,0.142857143,0.333333333
Atlas,3,1,0,0.333333333,0,0
Atlas,24,5,2,0.208333333,0.083333333,0.4
Atlas,12,5,1,0.416666667,0.083333333,0.2
Atlas,3,2,1,0.666666667,0.333333333,0.5
Atlas,13,5,1,0.384615385,0.076923077,0.2
Atlas,13,4,2,0.307692308,0.153846154,0.5
Atlas,5,1,1,0.2,0.2,1
Atlas,8,1,1,0.125,0.125,1
Atlas,5,2,1,0.4,0.2,0.5
Atlas,11,3,3,0.272727273,0.272727273,1
Atlas,10,3,0,0.3,0,0
Atlas,11,4,0,0.363636364,0,0
Atlas,12,4,1,0.333333333,0.083333333,0.25
Atlas,10,4,2,0.4,0.2,0.5
Atlas,12,6,2,0.5,0.166666667,0.333333333
Atlas,16,7,1,0.4375,0.0625,0.142857143
Atlas,10,3,0,0.3,0,0
Atlas,7,2,1,0.285714286,0.142857143,0.5
Atlas,14,4,1,0.285714286,0.071428571,0.25
Atlas,10,2,0,0.2,0,0
Atlas,10,4,2,0.4,0.2,0.5
Atlas,14,3,0,0.214285714,0,0
Atlas,10,3,1,0.3,0.1,0.333333333
Atlas,12,7,2,0.583333333,0.166666667,0.285714286
Atlas,7,3,2,0.428571429,0.285714286,0.666666667
Atlas,10,2,1,0.2,0.1,0.5
Atlas,16,7,0,0.4375,0,0
Atlas,7,4,0,0.571428571,0,0
Atlas,7,0,0,0,0,#¡DIV/0!
Atlas,13,4,1,0.307692308,0.076923077,0.25
Atlas,20,7,3,0.35,0.15,0.428571429
Cruz Azul,11,3,1,0.272727273,0.090909091,0.333333333
Cruz Azul,13,1,0,0.076923077,0,0
Cruz Azul,15,5,2,0.333333333,0.133333333,0.4
Cruz Azul,7,2,1,0.285714286,0.142857143,0.5
Cruz Azul,12,4,1,0.333333333,0.083333333,0.25
Cruz Azul,9,3,0,0.333333333,0,0
Cruz Azul,8,3,1,0.375,0.125,0.333333333
Cruz Azul,7,2,1,0.285714286,0.142857143,0.5
Cruz Azul,16,2,1,0.125,0.0625,0.5
Cruz Azul,28,7,1,0.25,0.035714286,0.142857143
Cruz Azul,13,3,2,0.230769231,0.153846154,0.666666667
Cruz Azul,13,8,2,0.615384615,0.153846154,0.25
Cruz Azul,14,5,4,0.357142857,0.285714286,0.8
Cruz Azul,11,6,2,0.545454545,0.181818182,0.333333333
Cruz Azul,13,4,3,0.307692308,0.230769231,0.75
Cruz Azul,5,2,0,0.4,0,0
Cruz Azul,18,8,2,0.444444444,0.111111111,0.25
Cruz Azul,10,4,4,0.4,0.4,1
Cruz Azul,13,4,1,0.307692308,0.076923077,0.25
Cruz Azul,12,2,1,0.166666667,0.083333333,0.5
Cruz Azul,18,3,1,0.166666667,0.055555556,0.333333333
Cruz Azul,15,6,4,0.4,0.266666667,0.666666667
Cruz Azul,15,5,0,0.333333333,0,0
Cruz Azul,17,6,1,0.352941176,0.058823529,0.166666667
Cruz Azul,13,2,0,0.153846154,0,0
Cruz Azul,18,6,2,0.333333333,0.111111111,0.333333333
Cruz Azul,15,4,3,0.266666667,0.2,0.75
Cruz Azul,23,3,1,0.130434783,0.043478261,0.333333333
Cruz Azul,9,3,2,0.333333333,0.222222222,0.666666667
Cruz Azul,9,2,1,0.222222222,0.111111111,0.5
Cruz Azul,14,4,0,0.285714286,0,0
Cruz Azul,14,4,1,0.285714286,0.071428571,0.25
Cruz Azul,22,5,1,0.227272727,0.045454545,0.2
Cruz Azul,25,5,0,0.2,0,0
Cruz Azul,14,8,5,0.571428571,0.357142857,0.625
Cruz Azul,16,4,2,0.25,0.125,0.5
Cruz Azul,12,2,1,0.166666667,0.083333333,0.5
Cruz Azul,15,6,1,0.4,0.066666667,0.166666667
Cruz Azul,11,3,1,0.272727273,0.090909091,0.333333333
Cruz Azul,14,7,3,0.5,0.214285714,0.428571429
Cruz Azul,9,3,1,0.333333333,0.111111111,0.333333333
Cruz Azul,9,4,1,0.444444444,0.111111111,0.25
Cruz Azul,22,7,3,0.318181818,0.136363636,0.428571429
Cruz Azul,13,6,3,0.461538462,0.230769231,0.5
