Equipo,Tiros,A_Gol,Goles
Monterrey,12,8,5
Monterrey,20,6,2
Monterrey,10,2,2
Monterrey,9,5,3
Monterrey,12,3,1
Monterrey,25,11,4
Monterrey,13,3,3
Monterrey,9,0,0
Monterrey,19,2,0
Monterrey,24,6,1
Monterrey,16,6,2
Monterrey,17,5,3
Monterrey,13,2,1
Monterrey,8,4,0
Monterrey,16,4,0
Monterrey,17,5,2
Monterrey,18,11,5
Monterrey,8,3,1
Monterrey,10,5,5
Monterrey,14,6,4
Monterrey,14,3,1
Monterrey,9,5,1
Monterrey,13,3,2
Monterrey,7,3,1
Monterrey,7,1,0
Monterrey,21,4,1
Monterrey,9,4,1
Monterrey,16,6,0
Monterrey,11,7,2
Monterrey,14,1,0
Monterrey,21,5,3
Monterrey,18,3,1
Monterrey,17,3,2
Monterrey,17,6,1
Monterrey,14,4,2
Monterrey,11,2,0
Monterrey,13,3,0
Monterrey,12,3,3
Monterrey,4,1,1
Monterrey,14,2,0
Monterrey,15,5,1
Monterrey,24,10,1
Monterrey,10,8,3
Monterrey,24,11,1
Monterrey,16,7,4
Monterrey,19,10,2
Monterrey,17,7,5
Monterrey,9,6,1
Monterrey,24,8,2
Monterrey,8,5,1
Monterrey,17,8,3
Monterrey,16,8,1
Monterrey,16,8,2
Monterrey,20,6,2
Monterrey,16,6,1
Monterrey,13,5,2
Monterrey,7,3,0
Monterrey,19,4,1
Monterrey,10,2,2
Monterrey,15,5,1
Monterrey,25,8,1
Monterrey,20,9,0
Monterrey,24,5,0
Monterrey,15,4,2
Monterrey,21,3,1
,,,
Morelia,13,4,1
Morelia,,,
Morelia,5,0,0
Morelia,20,8,2
Morelia,7,2,0
Morelia,16,3,1
Morelia,9,1,0
Morelia,12,6,2
Morelia,9,3,0
Morelia,17,7,2
Morelia,15,7,2
Morelia,18,9,1
Morelia,10,2,2
Morelia,15,6,1
Morelia,14,4,1
Morelia,11,4,3
Morelia,10,2,1
Morelia,8,2,1
Morelia,8,3,2
Morelia,3,2,0
Morelia,11,5,2
Morelia,15,2,0
Morelia,12,2,0
Morelia,5,2,2
Morelia,11,6,1
Morelia,16,5,1
Morelia,6,3,2
Morelia,10,1,1
Morelia,6,3,2
Morelia,14,7,2
Morelia,8,5,3
Morelia,10,3,2
Morelia,16,10,6
Morelia,10,2,1
Morelia,19,7,3
Morelia,8,5,1
Morelia,17,5,3
Morelia,11,6,2
Morelia,13,6,2
Morelia,7,4,0
Morelia,16,5,0
Morelia,7,3,2
Morelia,6,3,0
Morelia,14,7,1
Morelia,17,4,3
Morelia,7,2,1
Morelia,10,5,2
Morelia,23,4,2
Morelia,12,4,2
Morelia,13,9,4
